,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,avg val received,min val sent,max val sent,avg val sent,total Ether sent,total ether received,total ether balance,adjusted_eth_value__energy_ratio_by_chunks__num_segments_10__segment_focus_0,adjusted_eth_value__absolute_sum_of_changes,adjusted_eth_value__max_langevin_fixed_point__m_3__r_30,adjusted_eth_value__ratio_value_number_to_time_series_length,adjusted_eth_value__has_duplicate_min,adjusted_eth_value__mean_abs_change,adjusted_eth_value__energy_ratio_by_chunks__num_segments_10__segment_focus_1,adjusted_eth_value__count_below__t_0,"adjusted_eth_value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",adjusted_eth_value__autocorrelation__lag_6
7278,0x4d066967dfbb59139934d6f596c97ec8155f4683,0,2.41,0.0,9.63,4,2,0,2,4,940.959644,1000.5,0.001078,1344.6089869999996,500.249528,2000.998113,2001.0,0.001886545,0.208698140576527,3868.337964767656,1143.94336791771,1.0,0.0,773.6675929535311,0.2648630542138303,0.6666666666666666,0.0,0.0
7279,0x4d0a1e823e0b20e1a194d1775870a29bfbcc00e1,0,1.85,0.42,8.25,4,2,0,2,4,830.070817,1000.5,0.001078,1515.695777,500.249528,2000.998113,2001.0,0.001886545,0.1503290923095725,4543.178025855558,737.2953396290017,1.0,0.0,908.6356051711116,0.2991396658565752,0.6666666666666666,0.0,0.0
7280,0x4d0df63b9ac18d5417d6677c6fa61bdc37c04ff2,0,23.38,0.0,70.13,3,1,0,1,3,101.0,101.0,0.1,53.196886,33.666149,100.998446,101.0,0.0015539999999999,0.6664550986303307,159.69221130948662,135.2067641233607,1.0,0.0,53.230737103162205,6.533233002944132e-07,0.75,0.0,0.0
7281,0x4d11ae8ea6709250e7c3af2f38fa4124150bb9ea,0,943.06,491.61,286442.25,200,199,0,18,31,0.000149,0.214437,0.0,3.0,0.212653,42.53058944,42.67294412,0.14235468,0.3024475816108212,137.05317497026948,0.0,0.6060606060606061,1.0,0.320217698528667,0.0876797896920811,0.5314685314685315,0.0054266824552499,0.0098493418000439
7282,0x4d16f69a91c170f6a33f2f856a37c9bb69ff286c,0,4908.92,342.39,64843.1,13,3,0,2,6,4.39913,6.059471,0.06,10.1,2.9871220000000003,38.83259185,18.17841313,-20.65417872,0.272820552152391,55.78975831200002,0.0,0.8125,0.0,3.719317220800001,0.0058282954368599,0.8125,0.0,0.3916722032810453
7283,0x4d17f97bd22b1a7559e0dab2250e402be574f90f,0,1.12,0.07,3.52,3,2,0,2,3,962.745994,1000.5,1.146731,1067.060409,666.999528,2000.998585,2001.0,0.001414909,0.2309364905560717,2180.8224264976243,968.4890164570048,1.0,0.0,545.2056066244061,0.2685816590190687,0.6,0.0,0.0
7284,0x4d1a6265c539797da71c57e6b0d71082ddc467e5,0,1.47,0.51,6.9,4,2,0,2,4,555.565144,1000.5,0.001078,1577.669798,500.249528,2000.998113,2001.0,0.001886545,0.4123990615286387,4600.773375226224,1932.6429704427185,1.0,0.0,920.1546750452447,0.0609243075643651,0.6666666666666666,0.0,0.0
7285,0x4d1e73bc5fb4e96d7ab9eef751a265485562f4c9,0,0.0,28418.89,198932.2,0,7,1,4,0,0.0,7.123167,0.0,0.0,0.0,0.0,49.86216568,49.86216568,0.0,78.10256,0.0,0.75,1.0,11.15750857142857,5.183062279441869e-05,0.375,0.0,0.2142172086016983
7286,0x4d2d687ce166f2fcc2065b854a6495f415d2b376,0,164.07,0.0,328.15,2,1,0,1,2,101.0,101.0,0.3670000000000001,100.631974,50.499487,100.9989738,101.0,0.001026218,0.5018219063146313,201.6319737815968,244.70902705984963,1.0,0.0,100.81598689079836,6.625810287188645e-06,0.6666666666666666,0.0,0.0
7287,0x4d2fa4070b2f16a1c50da9c52f26cdff5318ded2,0,35.4,4849.47,19539.48,4,4,0,1,4,0.099,5.7073550000000015,0.098528,13.381713,5.706817,22.82726683,22.82941954,0.002152709,2.0437826123176423e-05,82.42343273915648,15.3090742044117,1.0,0.0,11.774776105593784,2.024355825299212e-05,0.5,0.0,-0.0095715599637484
